Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
1990,9,,255,FrRnd,20,Padres,Y,Ty Narcisse (minors),RHP,,,,,,,,,,,,,HS,Lincoin HS (Port Arthur TX)
1990,9,,258,FrRnd,23,Blue Jays,Y,Huck Flener (minors),LHP,0.5,29,0,0,,,29,3,3,5.51,1.67,0,4Yr,California State University Fullerton (Fullerton CA)
1990,9,,261,FrRnd,26,Royals,Y,Tony Lee (minors),RHP,,,,,,,,,,,,,HS,Eldorado HS (Las Vegas NV)
1990,10,,263,FrRnd,1,Miami Miracle,Y,Kenneth Whitworth (minors),P,,,,,,,,,,,,,4Yr,University of California Irvine (Irvine CA)
1990,10,,269,FrRnd,7,Mariners,Y,Reese Wallace (minors),RHP,,,,,,,,,,,,,HS,Lufkin HS (Lufkin TX)
1990,10,,270,FrRnd,8,Reds,N,Cliff Foster (minors),RHP,,,,,,,,,,,,,JC,Angelina College (Lufkin TX)
1990,10,,272,FrRnd,10,Dodgers,Y,Kenny Hamilton (minors),RHP,,,,,,,,,,,,,JC,Patrick Henry Junior College (Monroeville AL)
1990,10,,273,FrRnd,11,Yankees,Y,Darren Hodges (minors),RHP,,,,,,,,,,,,,4Yr,Ferrum College (Ferrum VA)
1990,10,,277,FrRnd,15,Brewers,Y,Kurt Archer (minors),RHP,,,,,,,,,,,,,4Yr,San Diego State University (San Diego CA)
1990,10,,278,FrRnd,16,Astros,N,Brian Boehringer (minors),RHP,3.9,356,31,0,0.065,0.244,356,26,32,4.36,1.49,3,4Yr,University of Nevada-Las Vegas (Las Vegas NV)
1990,10,,285,FrRnd,23,Blue Jays,Y,Tom Singer (minors),LHP,,,,,,,,,,,,,4Yr,St. John's University (Queens NY)
1990,10,,288,FrRnd,26,Royals,Y,Robert Toth (minors),RHP,,,,,,,,,,,,,HS,Pacifica HS (Garden Grove CA)
